+---------------+----------------+------+------+------+------+
|      Base     |     Target     | Wup  |  LC  |  SP  | Gold |
+---------------+----------------+------+------+------+------+
|      love     |      sex       | 1.54 | 3.48 | 7.25 | 6.77 |
|     tiger     |      cat       | 5.45 | 3.73 | 7.5  | 7.35 |
|     tiger     |     tiger      | 10.0 | 10.0 | 10.0 | 10.0 |
|      book     |     paper      | 2.5  | 3.24 | 7.0  | 7.46 |
|    computer   |    keyboard    | 8.24 | 6.98 | 9.25 | 7.62 |
|    computer   |    internet    | 6.32 | 4.69 | 8.25 | 7.58 |
|     plane     |      car       | 6.67 | 4.33 | 8.0  | 5.77 |
|     train     |      car       | 6.67 | 4.69 | 8.25 | 6.31 |
|   telephone   | communication  | 1.33 | 3.03 | 6.75 | 7.5  |
|   television  |     radio      | 9.0  | 8.07 | 9.5  | 6.77 |
|     media     |     radio      | 8.24 | 6.98 | 9.25 | 7.42 |
|      drug     |     abuse      | 1.43 | 3.24 | 7.0  | 6.85 |
|     bread     |     butter     | 7.5  | 6.2  | 9.0  | 6.19 |
|    cucumber   |     potato     | 2.0  | 2.47 | 6.0  | 5.92 |
|     doctor    |     nurse      | 8.24 | 6.98 | 9.25 | 7.0  |
|   professor   |     doctor     | 6.67 | 5.11 | 8.5  | 6.62 |
|    student    |   professor    | 5.33 | 4.69 | 8.25 | 6.81 |
|     smart     |    student     | 1.33 | 3.03 | 6.75 | 4.62 |
|     smart     |     stupid     | 1.33 | 3.03 | 6.75 | 5.81 |
|    company    |     stock      | 2.86 | 3.73 | 7.5  | 7.08 |
|     stock     |     market     | 2.86 | 3.73 | 7.5  | 8.08 |
|     stock     |     phone      | 1.25 | 2.83 | 6.5  | 1.62 |
|     stock     |       CD       | 4.0  | 4.02 | 7.75 | 1.31 |
|     stock     |     jaguar     | 0.91 | 1.87 | 5.0  | 0.92 |
|     stock     |      egg       | 1.18 | 2.64 | 6.25 | 1.81 |
|   fertility   |      egg       | 1.25 | 2.83 | 6.5  | 6.69 |
|     stock     |      live      |  0   |  0   |  0   | 3.73 |
|     stock     |      life      | 3.08 | 4.02 | 7.75 | 0.92 |
|      book     |    library     | 5.26 | 4.02 | 7.75 | 7.46 |
|      bank     |     money      | 1.54 | 3.48 | 7.25 | 8.12 |
